업종명,인허가일자,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,업태명
,,김천유아숲체험원,경상북도 김천시 남면 용전리,경상북도 김천시 남면 용전리,,,
,,이화만리녹색농촌체험마을영농조합법인,경상북도 김천시 농소면 벽봉로 1651,경상북도 김천시 농소면 벽봉로 1651,,,
,,김천녹색미래과학관,경상북도 김천시 남면 혁신6로 31,경상북도 김천시 남면 혁신6로 31,,,
,,김천옛날솜씨마을영농조합법인,경상북도 김천시 증산면 평촌리 236-1,경상북도 김천시 증산면 평촌리 236-1,,,
,,국립김천유아숲체험원,경상북도 김천시 지례면 울곡리 산175-9,경상북도 김천시 지례면 울곡리 산175-9,,,
,,김천시립박물관,경상북도 김천시 대항면 운수리 236-1,경상북도 김천시 대항면 운수리 236-1,,,
,,농업회사법인김천시10만불체험농가(주),경상북도 김천시 농소면 봉곡리 1214 농소면 봉곡리 1214번지 김천시 경상북도 KR 39678,경상북도 김천시 농소면 봉곡리 1214 농소면 봉곡리 1214번지 김천시 경상북도 KR 39678,,,
,,반곡포도정보화마을,경상북도 김천시 대항면 대룡리 151,경상북도 김천시 대항면 대룡리 151,,,
,,김천포도영농조합법인,경상북도 김천시 대항면 복전리 39,경상북도 김천시 대항면 복전리 39,,,
,,김천노벨꿈학교,경상북도 김천시 남산동 10-41,경상북도 김천시 남산동 10-41,,,
,,마고촌교육농장,경상북도 김천시 남면 월명리 33,경상북도 김천시 남면 월명리 33,,,
,,직지문화공원,경상북도 김천시 대항면 운수리 33-1,경상북도 김천시 대항면 운수리 33-1,,,
,,천혜,경상북도 김천시 아포읍 의리 1185 KR,경상북도 김천시 아포읍 의리 1185 KR,,,
,,김천세계도자기박물관,경상북도 김천시 대항면 직지사길 118,경상북도 김천시 대항면 직지사길 118,,,
,,김천승마장,경상북도 김천시 남면 봉천리,경상북도 김천시 남면 봉천리,,,
,,김천은호승마클럽,경상북도 김천시 개령면 서부리 592,경상북도 김천시 개령면 서부리 592,,,
,,국립 김천 치유의숲,경상북도 김천시 증산면 수도리 504,경상북도 김천시 증산면 수도리 504,,,
,,김천시립미술관,경상북도 김천시 황금동 남산공원길 90-14,경상북도 김천시 황금동 남산공원길 90-14,,,
