업종명,인허가일자,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,업태명
,,산중고을,경상북도 김천시 대항면 황학동길 31, 경상북도 김천시 대항면 향천리 311-7,,,
,,경복궁식당,경상북도 김천시 대항면 황학동길 11-8, 경상북도 김천시 대항면 향천리 317-6,,,
,,청산고을,경상북도 김천시 대항면 황학동길 32, 경상북도 김천시 대항면 향천리 311-11,,,
,,경동산채식당,경상북도 김천시 대항면 황학동길 12-5, 경상북도 김천시 대항면 향천리 317-12,,,
,,직지사 다반향초,경상북도 김천시 대항면 직지사길 95, 경상북도 김천시 대항면 운수리 216,,,
,,울산식당,경상북도 김천시 대항면 황학동길 4-27, 경상북도 김천시 대항면 향천리 324-10,,,
,,산채금오식당,경상북도 김천시 대항면 황학동길 12-1, 경상북도 김천시 대항면 향천리 317-11,,,
,,천일식당,경상북도 김천시 대항면 황학동길 13, 경상북도 김천시 대항면 향천리 317-7,,,
,,신토불이,경상북도 김천시 대항면 황학동길 4-19, 경상북도 김천시 대항면 향천리 317-14,,,
,,하회마을,경상북도 김천시 대항면 황학동길 4-31, 경상북도 김천시 대항면 향천리 311-15,,,
,,대구식당,경상북도 김천시 대항면 황학동길 35-5, 경상북도 김천시 대항면 향천리 311-5,,,
,,한성식당,경상북도 김천시 대항면 황학동길 35-7, 경상북도 김천시 대항면 향천리 311-3,,,
,,부일산채식당,경상북도 김천시 대항면 황학동길 35-1, 경상북도 김천시 대항면 향천리 311-8,,,
,,50년전통송학식당,경상북도 김천시 대항면 황학동길 3-2, 경상북도 김천시 대항면 향천리 318-6,,,
,,서울식당,경상북도 김천시 대항면 황학동길 10, 경상북도 김천시 대항면 향천리 318-8,,,
,,성주할매묵집,경상북도 김천시 대항면 직지로 142, 경상북도 김천시 대항면 향천리 365,,,
,,대전식당,경상북도 김천시 대항면 황학동길 11, 경상북도 김천시 대항면 향천리 318-11,,,
,,일직식당,경상북도 김천시 대항면 황학동길 4-7, 경상북도 김천시 대항면 향천리 318,,,
,,선비고을,경상북도 김천시 대항면 황학동길 23, 경상북도 김천시 대항면 향천리 324-2,,,
,,카페밀,경상북도 김천시 대항면 직지사길 130, 경상북도 김천시 대항면 운수리 103,,,
