업종명,인허가일자,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,업태명
일반음식점,1967-10-10,청기와뼈다귀해장국,서울특별시 동작구 흑석로 94 (흑석동),서울특별시 동작구 흑석동 223번지 1호,163.96,02-822-8060,한식
일반음식점,1972-04-14,안동장,서울특별시 동작구 흑석로 105-1 (흑석동),서울특ㄹㅋㄹㅋ별시 동작구 흑석동 184번지 18호,321.03,02-813-0572,중국식
일반음식점,1974-11-14,영빈관,서울특별시 동작구 장승배기로19길 21 (노량진동),서울특별시 동작구 노량진동 313번지 91호,29.93,02-813-3088,중국식
일반음식점,1975-05-15,바다회센타,서울특별시 동작구 동작대로27길 20-7 (사당동),서울특별시 동작구 사당동 130번지 16호,71.41,02-0533-0594,일식
일반음식점,1975-09-24,야채순대곱창,서울특별시 동작구 동작대로27길 16-7 (사당동),서울특별시 동작구 사당동 130번지 13호,23.19,02-3476-2259,정종/대포집/소주방
일반음식점,1975-06-17,신부양각,서울특별시 동작구 양녕로 191 (상도동),서울특별시 동작구 상도동 210번지 202호,91.84,02-825-1515,중국식
일반음식점,1976-02-16,순대나라,서울특별시 동작구 서달로12가길 5 (흑석동),서울특별시 동작구 흑석동 97번지 22호,25.5,02-815-0937,한식
일반음식점,1977-09-08,우슬재,서울특별시 동작구 현충로 94 (흑석동),서울특별시 동작구 흑석동 6번지 10호,43.98,02-812-0214,호프/통닭
일반음식점,1977-05-13,정은식당,서울특별시 동작구 노량진로6길 6-8 (노량진동),서울특별시 동작구 노량진동 29번지 5호,31.06,02-0821-6573,한식
일반음식점,1978-10-30,원조마포숯불갈비,서울특별시 동작구 성대로1길 13 (상도동),서울특별시 동작구 상도동 355번지 5호,79.2,02-0822-0513,한식
일반음식점,1979-11-30,신대방빨강떡볶이,"서울특별시 동작구 여의대방로24길 60, 지상1층 (신대방동)",서울특별시 동작구 신대방동 361번지 39호,40.16,02-813-3449,한식
일반음식점,1979-07-03,비어 퀸,서울특별시 동작구 서달로14길 8 (흑석동),서울특별시 동작구 흑석동 52번지 26호,34.63,02-813-7845,한식
일반음식점,1979-06-11,춘하추동,서울특별시 동작구 등용로14길 77-2 (노량진동),서울특별시 동작구 노량진동 266번지 8호,90.81,02-813-0685,한식
일반음식점,1979-04-12,야산속,서울특별시 동작구 노량진로8길 8 (노량진동),서울특별시 동작구 노량진동 27번지 13호,58.93,02-814-7934,경양식
일반음식점,1980-09-10,소문난만천곱창,서울특별시 동작구 서달로12길 13 (흑석동),서울특별시 동작구 흑석동 97번지 6호,27.7,02-0813-1891,한식
업종명,인허가일자,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,업태명
일반음식점,1967-10-10,청기와뼈다귀해장국,서울특별시 동작구 흑석로 94 (흑석동),서울특별시 동작구 흑석동 223번지 1호,163.96,02-822-8060,한식
일반음식점,1972-04-14,안동장,서울특별시 동작구 흑석로 105-1 (흑석동),서울특별시 동작구 흑석동 184번지 18호,321.03,02-813-0572,중국식
일반음식점,1974-11-14,영빈관,서울특별시 동작구 장승배기로19길 21 (노량진동),서울특별시 동작구 노량진동 313번지 91호,29.93,02-813-3088,중국식
일반음식점,1975-05-15,바다회센타,서울특별시 동작구 동작대로27길 20-7 (사당동),서울특별시 동작구 사당동 130번지 16호,71.41,02-0533-0594,일식
일반음식점,1975-09-24,야채순대곱창,서울특별시 동작구 동작대로27길 16-7 (사당동),서울특별시 동작구 사당동 130번지 13호,23.19,02-3476-2259,정종/대포집/소주방
일반음식점,1975-06-17,신부양각,서울특별시 동작구 양녕로 191 (상도동),서울특별시 동작구 상도동 210번지 202호,91.84,02-825-1515,중국식
일반음식점,1976-02-16,순대나라,서울특별시 동작구 서달로12가길 5 (흑석동),서울특별시 동작구 흑석동 97번지 22호,25.5,02-815-0937,한식
일반음식점,1977-09-08,우슬재,서울특별시 동작구 현충로 94 (흑석동),서울특별시 동작구 흑석동 6번지 10호,43.98,02-812-0214,호프/통닭
일반음식점,1977-05-13,정은식당,서울특별시 동작구 노량진로6길 6-8 (노량진동),서울특별시 동작구 노량진동 29번지 5호,31.06,02-0821-6573,한식
일반음식점,1978-10-30,원조마포숯불갈비,서울특별시 동작구 성대로1길 13 (상도동),서울특별시 동작구 상도동 355번지 5호,79.2,02-0822-0513,한식
일반음식점,1979-11-30,신대방빨강떡볶이,"서울특별시 동작구 여의대방로24길 60, 지상1층 (신대방동)",서울특별시 동작구 신대방동 361번지 39호,40.16,02-813-3449,한식
일반음식점,1979-07-03,비어 퀸,서울특별시 동작구 서달로14길 8 (흑석동),서울특별시 동작구 흑석동 52번지 26호,34.63,02-813-7845,한식
일반음식점,1979-06-11,춘하추동,서울특별시 동작구 등용로14길 77-2 (노량진동),서울특별시 동작구 노량진동 266번지 8호,90.81,02-813-0685,한식
일반음식점,1979-04-12,야산속,서울특별시 동작구 노량진로8길 8 (노량진동),서울특별시 동작구 노량진동 27번지 13호,58.93,02-814-7934,경양식
일반음식점,1980-09-10,소문난만천곱창,서울특별시 동작구 서달로12길 13 (흑석동),서울특별시 동작구 흑석동 97번지 6호,27.7,02-0813-1891,한식
