업종명,인허가일자,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,업태명
,,경동산채식당,경상북도 김천시 대항면 향천리 317-12,경상북도 김천시 대항면 향천리 317-12,,,
,,산중고을식당,경상북도 김천시 대항면 향천리 311-7,경상북도 김천시 대항면 향천리 311-7,,,
,,파전분식,경상북도 김천시 평화동 268-13,경상북도 김천시 평화동 268-13,,,
,,홍천뚝배기,경상북도 김천시 평화동 245-174,경상북도 김천시 평화동 245-174,,,
,,우리집순대,경상북도 김천시 평화동 256-4,경상북도 김천시 평화동 256-4,,,
,,산쪼메 김천혁신도시점,경상북도 김천시 남면 혁신6로 6,경상북도 김천시 남면 혁신6로 6,,,
,,남촌왕만두,경상북도 김천시 부곡동 1062-3,경상북도 김천시 부곡동 1062-3,,,
,,쓰리랑한우마을,경상북도 김천시 신음동 1283-8,경상북도 김천시 신음동 1283-8,,,
,,대자연한우,경상북도 김천시 지례면 상부리 630,경상북도 김천시 지례면 상부리 630,,,
,,진옥곱창,경상북도 김천시 평화동 452-14,경상북도 김천시 평화동 452-14,,,
,,아포국밥,경상북도 김천시 평화동 256-20,경상북도 김천시 평화동 256-20,,,
,,김천뒷고기,경상북도 김천시 다수동 190-5,경상북도 김천시 다수동 190-5,,,
,,조선의한우 김천점,경상북도 김천시 농소면 월곡리 515,경상북도 김천시 농소면 월곡리 515,,,
,,옥산리국수가,경상북도 김천시 남면 옥산리 375,경상북도 김천시 남면 옥산리 375,,,
,,주물럭도야지,경상북도 김천시 지좌동 440-143,경상북도 김천시 지좌동 440-143,,,
,,다정원,경상북도 김천시 삼락동 276,경상북도 김천시 삼락동 276,,,
,,용궁단골식당,경상북도 김천시 부곡동 1409,경상북도 김천시 부곡동 1409,,,
,,리담,경상북도 김천시 성내동 10-34,경상북도 김천시 성내동 10-34,,,
,,찜앤닭,경상북도 김천시 신음동 989-2,경상북도 김천시 신음동 989-2,,,
,,갈무리식당평화점,경상북도 김천시 평화동 245-150,경상북도 김천시 평화동 245-150,,,
,,배신석쇠불고기 김천혁신점,경상북도 김천시 남면 해오름2로 15,경상북도 김천시 남면 해오름2로 15,,,
,,화수정,경상북도 김천시 신음동 1215,경상북도 김천시 신음동 1215,,,
,,함지박,경상북도 김천시 부곡동 394-5,경상북도 김천시 부곡동 394-5,,,
,,무리소김천혁신점,경상북도 김천시 덕곡동 981-6,경상북도 김천시 덕곡동 981-6,,,
,,황금코다리 김천점,경상북도 김천시 교동 743-1,경상북도 김천시 교동 743-1,,,
,,나루,경상북도 김천시 신음동,경상북도 김천시 신음동,,,
,,부상식당,경상북도 김천시 남면 부상리 480,경상북도 김천시 남면 부상리 480,,,
,,금산식당,경상북도 김천시 지좌동 761-24,경상북도 김천시 지좌동 761-24,,,
,,장터추어탕,경상북도 김천시 용두동 134-2,경상북도 김천시 용두동 134-2,,,
,,미소닭발,경상북도 김천시 지좌동 영남대로 2089,경상북도 김천시 지좌동 영남대로 2089,,,
,,선산김치곱창김천점,경상북도 김천시 부곡동 1389,경상북도 김천시 부곡동 1389,,,
,,오단이꼬마김밥,경상북도 김천시 부곡동 437-8,경상북도 김천시 부곡동 437-8,,,
,,양평칼국수,경상북도 김천시 황금동 22-2,경상북도 김천시 황금동 22-2,,,
,,유정순대국밥,경상북도 김천시 평화동 229-11,경상북도 김천시 평화동 229-11,,,
,,현풍닭칼국수 김천 혁신점,경상북도 김천시 남면 혁신1로 50 율곡스퀘어 KTX,경상북도 김천시 남면 혁신1로 50 율곡스퀘어 KTX,,,
,,역전식당,경상북도 김천시 평화동 김천로 100,경상북도 김천시 평화동 김천로 100,,,
,,교동마당,경상북도 김천시 교동,경상북도 김천시 교동,,,
,,우천냉면,경상북도 김천시 삼락동,경상북도 김천시 삼락동,,,
,,홍스키친,경상북도 김천시 신음동 1008-1,경상북도 김천시 신음동 1008-1,,,
,,김천야식,경상북도 김천시 모암동 153-4,경상북도 김천시 모암동 153-4,,,
,,김천 하와이새우트럭,경상북도 김천시 율곡동 89번지 KR 1층,경상북도 김천시 율곡동 89번지 KR 1층,,,
,,파스타바니타 김천혁신점,경상북도 김천시 남면 혁신4로 9,경상북도 김천시 남면 혁신4로 9,,,
,,하늘마당,경상북도 김천시 대신동 대보1길 14-4,경상북도 김천시 대신동 대보1길 14-4,,,
,,천일식당,경상북도 김천시 대항면 향천리 317-7,경상북도 김천시 대항면 향천리 317-7,,,
,,종가대박집,경상북도 김천시 부곡동 1358,경상북도 김천시 부곡동 1358,,,
,,모광식당,경상북도 김천시 대광동 289-2,경상북도 김천시 대광동 289-2,,,
,,장수순대국밥,경상북도 김천시 농소면 영남대로 2247,경상북도 김천시 농소면 영남대로 2247,,,
,,서민구이김천점,경상북도 김천시 부곡동 1426,경상북도 김천시 부곡동 1426,,,
,,마산아구,경상북도 김천시 신음동 1302-1,경상북도 김천시 신음동 1302-1,,,
,,진수성찬,경상북도 김천시 부곡동 422-31,경상북도 김천시 부곡동 422-31,,,
,,미스터보쌈5379 김천점,경상북도 김천시 덕곡동 999-1,경상북도 김천시 덕곡동 999-1,,,
,,풍산숯불갈비칡냉면,경상북도 김천시 황금동 2-7,경상북도 김천시 황금동 2-7,,,
